Generation,plate,well,rearray_well
70,P3,D03,B01
70,P3,D02,C01
70,P3,F05,D01
70,P3,F03,E01
70,P3,G05,F01
70,P3,G02,G01
70,P3,C05,A02
70,P3,C04,B02
70,P3,D05,C02
70,P3,C03,D02
70,P3,G06,E02
70,P3,E02,F02
70,P3,B11,G02
70,P3,C11,H02
70,P3,D11,A03
70,P3,E11,B03
70,P3,F11,C03
70,P3,G11,D03
70,P3,F07,E03
70,P3,F09,F03
70,P3,G09,G03
70,P3,B10,H03
70,P3,D10,A04
70,P3,B08,B04
70,P3,C07,C04
70,P3,B07,D04
70,P3,E08,E04
70,P3,G10,F04
70,P3,C10,G04
70,P3,D09,H04
2640,P3,D03,B05
2640,P3,D02,C05
2640,P3,F05,D05
2640,P3,F03,E05
2640,P3,G05,F05
2640,P3,G02,G05
2640,P3,C05,A06
2640,P3,C04,B06
2640,P3,D05,C06
2640,P3,C03,D06
2640,P3,G06,E06
2640,P3,E02,F06
2640,P3,B11,G06
2640,P3,C11,H06
2640,P3,D11,A07
2640,P3,E11,B07
2640,P3,F11,C07
2640,P3,G11,D07
2640,P3,F07,E07
2640,P3,F09,F07
2640,P3,G09,G07
2640,P3,B10,H07
2640,P3,D10,A08
2640,P3,B08,B08
2640,P3,C07,C08
2640,P3,B07,D08
2640,P3,E08,E08
2640,P3,G10,F08
2640,P3,C10,G08
2640,P3,D09,H08
7530,P3,D03,B09
7530,P3,D02,C09
7530,P3,F05,D09
7530,P3,F03,E09
7530,P3,G05,F09
7530,P3,G02,G09
7530,P3,C05,A10
7530,P3,C04,B10
7530,P3,D05,C10
7530,P3,C03,D10
7530,P3,G06,E10
7530,P3,E02,F10
7530,P3,B11,G10
7530,P3,C11,H10
7530,P3,D11,A11
7530,P3,E11,B11
7530,P3,F11,C11
7530,P3,G11,D11
7530,P3,F07,E11
7530,P3,F09,F11
7530,P3,G09,G11
7530,P3,B10,H11
7530,P3,D10,A12
7530,P3,B08,B12
7530,P3,C07,C12
7530,P3,B07,D12
7530,P3,E08,E12
7530,P3,G10,F12
7530,P3,C10,G12
7530,P3,D09,H12
