briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase; has similarity to Gas1p; localizes to the cell wall",,chrXV,YOL030W,GAS5,,1,269641,268187,GAS5
"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase; involved with Gas2p in spore wall assembly; has similarity to Gas1p; localizes to the cell wall",,chrXV,YOL132W,GAS4,,1,72715,71300,GAS4
"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase; involved with Gas4p in spore wall assembly; has similarity to Gas1p",,chrXII,YLR343W,GAS2,,1,817761,816094,GAS2
"14-3-3 protein, major isoform","14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication","Phosphoserine- and DNA replication origin-binding protein involved in many signaling pathways and processes including the DNA damage and spindle position checkpoints, signal transduction during filamentous growth, cell wall chitin biosynthesis, and aggresome assembly; localizes to the nucleus, cytoplasm, and cytoplasmic stress granule",chrV,YER177W,BMH1,"Non-essential gene; null mutation results in increased frequency of gross chromosomal rearrangements, lengthened chronological lifespan, decreased sensitivity to desiccation and increased innate thermotolerance; null mutant is sensitive to hyperosmotic stress and resistant to oxidative stress; overexpression leads to slow growth
",1,546414,545611,BMH1
"14-3-3 protein, minor isoform","14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; abundance relative to Bmh1p increases during sporulation","Phosphoserine- and DNA replication origin-binding protein involved in Ras protein signal transduction and signal transduction during filamentous growth; involved in many processes including DNA replication initiation, DNA damage checkpoint, negative regulation of apoptosis, and cell wall chitin biosynthesis; localizes to the nucleus and cytoplasm",chrIV,YDR099W,BMH2,"Non-essential gene; null mutation results in increased frequency of gross chromosomal rearrangements and lengthened chronological lifespan; null mutant is sensitive to selenite and resistant to selenomethionine; overexpression leads to slow growth and actin cytoskeleton abnormalities
",1,654428,653607,BMH2
17-kDa component of the U4/U6aU5 tri-snRNP,17-kDa component of the U4/U6aU5 tri-snRNP; plays an essential role in pre-mRNA splicing; human ortholog TXNL4A (the human U5-specific 15-kDa protein) complements yeast dib1 null mutant,Subunit of the U4/U6 x U5 tri-small nuclear RNP (snRNP) complex involved in messenger RNA (mRNA) splicing via spliceosome; localizes to U5 snRNP,chrXVI,YPR082C,DIB1,"Essential gene; conditional or reduction-of-function mutants show elevated chromosome instability, abnormal mitochondrial morphology and increased benomyl sensitivity
",-1,704656,704225,DIB1
18kDa catalytic subunit of the Signal Peptidase Complex (SPC),"18kDa catalytic subunit of the Signal Peptidase Complex (SPC); the Signal Peptidase Complex cleaves the signal sequence of proteins targeted to the endoplasmic reticulum; other members are Spc1p, Spc2p, Spc3p, and Sec11p",Peptidase involved in signal peptide processing and protein targeting to the endoplasmic reticulum; subunit of signal peptidase complex,chrIX,YIR022W,SEC11,,1,399236,398733,SEC11
18S ribosomal RNA (18S rRNA),18S ribosomal RNA (18S rRNA); component of the small (40S) ribosomal subunit; involved in codon recognition by tRNAs or the release factor eRF1 (Sup45p); encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript,,chrXII,RDN18-1,RDN18-1,,-1,457732,455933,RDN18-1
18S ribosomal RNA (18S rRNA),18S ribosomal RNA (18S rRNA); component of the small (40S) ribosomal subunit; involved in codon recognition by tRNAs or the release factor eRF1 (Sup45p); encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript,,chrXII,RDN18-2,RDN18-2,,-1,466869,465070,RDN18-2
19S proteasome regulatory particle lid subcomplex component,"19S proteasome regulatory particle lid subcomplex component; role in Ub-dependent proteolysis and proteasome stability; involved in TREX-2 mediated mRNA export, and in the prevention of transcription-associated genome instability; ubiquitinated by Nedd4-like E3-ligase, Rsp5p; human ortholog DSS1, a BRCA1 binding protein implicated in cancer, complements the yeast null; drives trinucleotide repeat expansion; protein abundance increases in response to DNA replication stress","Peripheral lid subunit of proteasome regulatory particle involved in ubiquitin-dependent protein degradation; involved in messenger RNA (mRNA) export from nucleus, filamentous growth, histone deubiquitination and DNA trinucleotide repeats",chrIV,YDR363W-A,SEM1,"Non-essential gene; null mutant exhibits sensitivity to heat and UV, resistance to 4-NQO, and decreased nuclear export of poly(A)+ RNA; in large-scale studies, null mutant shows reduced competitive fitness in several different media, displays sensitivity to acid pH and desiccation, and has shortened telomeres; null mutant exhibits a respiratory growth defect at 37 deg C; null mutant has altered resistance to a variety of chemicals
",1,1202397,1202128,SEM1
