# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_bidirectional_gene_fusion	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_duplication	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_inversion	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
CDS_III_85096_86385	GENE_CDS_III_85096_86385	YCL019W	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CDS_III_85096_86412	GENE_CDS_III_85096_86412	YCL020W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_II_221273_222577	GENE_CDS_II_221273_222577	YBL005W-B	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_II_221273_222595	GENE_CDS_II_221273_222595	YBL005W-A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_II_29934_31226	GENE_CDS_II_29934_31226	YBL100W-B	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_IV_1207134_1208438	GENE_CDS_IV_1207134_1208438	YDR365W-B	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_IV_513497_517516	GENE_CDS_IV_513497_517516	YDR034C-D	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDS_IV_517494_518810	GENE_CDS_IV_517494_518810	YDR034C-C	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDS_IV_645310_649272	GENE_CDS_IV_645310_649272	YDR098C-B	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDS_IV_649256_650578	GENE_CDS_IV_649256_650578	YDR098C-A	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDS_IV_981252_982544	GENE_CDS_IV_981252_982544	YDR261W-B	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_IV_981252_982568	GENE_CDS_IV_981252_982568	YDR261W-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_IV_987324_990833	GENE_CDS_IV_987324_990833	YDR261C-D	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_IV_990817_992139	GENE_CDS_IV_990817_992139	YDR261C-C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_IX_19515_19844	GENE_CDS_IX_19515_19844	YIL171W	protein_coding	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CDS_IX_19847_21220	GENE_CDS_IX_19847_21220	YIL170W	protein_coding	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CDS_I_218557_219153	GENE_CDS_I_218557_219153	YAR062W	protein_coding	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
CDS_VII_562163_566125	GENE_CDS_VII_562163_566125	YGR038C-B	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_VII_566109_567431	GENE_CDS_VII_566109_567431	YGR038C-A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_VII_812051_813343	GENE_CDS_VII_812051_813343	YGR161W-B	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDS_VII_812051_813367	GENE_CDS_VII_812051_813367	YGR161W-A	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
